,Logistic Regression,KNN,Naive Bayes (Gaussian),SVM,Random Forest,Gradient Boosting (LightGBM)
intents_24,"{'accuracy_score': 0.85, 'precision_score': 0.82, 'recall_score': 0.85, 'f1_score': 0.81}","{'accuracy_score': 0.87, 'precision_score': 0.83, 'recall_score': 0.89, 'f1_score': 0.83}","{'accuracy_score': 0.85, 'precision_score': 0.84, 'recall_score': 0.85, 'f1_score': 0.84}","{'accuracy_score': 0.9, 'precision_score': 0.88, 'recall_score': 0.92, 'f1_score': 0.89}","{'accuracy_score': 0.89, 'precision_score': 0.87, 'recall_score': 0.91, 'f1_score': 0.86}","{'accuracy_score': 0.88, 'precision_score': 0.86, 'recall_score': 0.89, 'f1_score': 0.85}"
intents_25,"{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.2, 'f1_score': 0.25}","{'accuracy_score': 0.8, 'precision_score': 0.67, 'recall_score': 0.58, 'f1_score': 0.62}","{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.2, 'f1_score': 0.25}","{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.2, 'f1_score': 0.25}","{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.2, 'f1_score': 0.25}","{'accuracy_score': 0.6, 'precision_score': 0.33, 'recall_score': 0.2, 'f1_score': 0.25}"
intents_26,"{'accuracy_score': 0.55, 'precision_score': 0.43, 'recall_score': 0.46, 'f1_score': 0.4}","{'accuracy_score': 0.66, 'precision_score': 0.64, 'recall_score': 0.69, 'f1_score': 0.61}","{'accuracy_score': 0.71, 'precision_score': 0.69, 'recall_score': 0.74, 'f1_score': 0.68}","{'accuracy_score': 0.69, 'precision_score': 0.59, 'recall_score': 0.65, 'f1_score': 0.59}","{'accuracy_score': 0.72, 'precision_score': 0.69, 'recall_score': 0.83, 'f1_score': 0.71}","{'accuracy_score': 0.68, 'precision_score': 0.59, 'recall_score': 0.66, 'f1_score': 0.6}"
intents_27,"{'accuracy_score': 0.73, 'precision_score': 0.54, 'recall_score': 0.53, 'f1_score': 0.51}","{'accuracy_score': 0.81, 'precision_score': 0.67, 'recall_score': 0.68, 'f1_score': 0.65}","{'accuracy_score': 0.83, 'precision_score': 0.7, 'recall_score': 0.75, 'f1_score': 0.7}","{'accuracy_score': 0.82, 'precision_score': 0.66, 'recall_score': 0.7, 'f1_score': 0.65}","{'accuracy_score': 0.82, 'precision_score': 0.69, 'recall_score': 0.71, 'f1_score': 0.66}","{'accuracy_score': 0.79, 'precision_score': 0.66, 'recall_score': 0.64, 'f1_score': 0.63}"
intents_28,"{'accuracy_score': 0.5, 'precision_score': 0.42, 'recall_score': 0.41, 'f1_score': 0.37}","{'accuracy_score': 0.67, 'precision_score': 0.63, 'recall_score': 0.65, 'f1_score': 0.61}","{'accuracy_score': 0.67, 'precision_score': 0.6, 'recall_score': 0.71, 'f1_score': 0.62}","{'accuracy_score': 0.66, 'precision_score': 0.58, 'recall_score': 0.69, 'f1_score': 0.59}","{'accuracy_score': 0.64, 'precision_score': 0.56, 'recall_score': 0.68, 'f1_score': 0.57}","{'accuracy_score': 0.65, 'precision_score': 0.59, 'recall_score': 0.68, 'f1_score': 0.59}"
intents_29,"{'accuracy_score': 0.59, 'precision_score': 0.51, 'recall_score': 0.6, 'f1_score': 0.5}","{'accuracy_score': 0.7, 'precision_score': 0.66, 'recall_score': 0.66, 'f1_score': 0.63}","{'accuracy_score': 0.67, 'precision_score': 0.61, 'recall_score': 0.61, 'f1_score': 0.59}","{'accuracy_score': 0.72, 'precision_score': 0.66, 'recall_score': 0.75, 'f1_score': 0.66}","{'accuracy_score': 0.66, 'precision_score': 0.6, 'recall_score': 0.63, 'f1_score': 0.59}","{'accuracy_score': 0.64, 'precision_score': 0.6, 'recall_score': 0.56, 'f1_score': 0.56}"
intents_30,"{'accuracy_score': 0.52, 'precision_score': 0.41, 'recall_score': 0.37, 'f1_score': 0.37}","{'accuracy_score': 0.63, 'precision_score': 0.6, 'recall_score': 0.63, 'f1_score': 0.58}","{'accuracy_score': 0.64, 'precision_score': 0.64, 'recall_score': 0.75, 'f1_score': 0.66}","{'accuracy_score': 0.62, 'precision_score': 0.59, 'recall_score': 0.64, 'f1_score': 0.58}","{'accuracy_score': 0.63, 'precision_score': 0.58, 'recall_score': 0.72, 'f1_score': 0.6}","{'accuracy_score': 0.63, 'precision_score': 0.59, 'recall_score': 0.7, 'f1_score': 0.61}"
intents_31,"{'accuracy_score': 0.52, 'precision_score': 0.3, 'recall_score': 0.32, 'f1_score': 0.28}","{'accuracy_score': 0.65, 'precision_score': 0.54, 'recall_score': 0.59, 'f1_score': 0.54}","{'accuracy_score': 0.6, 'precision_score': 0.49, 'recall_score': 0.51, 'f1_score': 0.47}","{'accuracy_score': 0.63, 'precision_score': 0.43, 'recall_score': 0.44, 'f1_score': 0.42}","{'accuracy_score': 0.62, 'precision_score': 0.48, 'recall_score': 0.52, 'f1_score': 0.47}","{'accuracy_score': 0.62, 'precision_score': 0.49, 'recall_score': 0.53, 'f1_score': 0.49}"
intents_32,"{'accuracy_score': 0.51, 'precision_score': 0.29, 'recall_score': 0.31, 'f1_score': 0.26}","{'accuracy_score': 0.58, 'precision_score': 0.48, 'recall_score': 0.52, 'f1_score': 0.47}","{'accuracy_score': 0.59, 'precision_score': 0.5, 'recall_score': 0.57, 'f1_score': 0.51}","{'accuracy_score': 0.61, 'precision_score': 0.4, 'recall_score': 0.42, 'f1_score': 0.39}","{'accuracy_score': 0.63, 'precision_score': 0.49, 'recall_score': 0.52, 'f1_score': 0.48}","{'accuracy_score': 0.63, 'precision_score': 0.5, 'recall_score': 0.57, 'f1_score': 0.51}"
intents_33,"{'accuracy_score': 0.22, 'precision_score': 0.2, 'recall_score': 0.14, 'f1_score': 0.14}","{'accuracy_score': 0.28, 'precision_score': 0.23, 'recall_score': 0.28, 'f1_score': 0.22}","{'accuracy_score': 0.36, 'precision_score': 0.33, 'recall_score': 0.31, 'f1_score': 0.27}","{'accuracy_score': 0.25, 'precision_score': 0.25, 'recall_score': 0.21, 'f1_score': 0.2}","{'accuracy_score': 0.32, 'precision_score': 0.29, 'recall_score': 0.26, 'f1_score': 0.25}","{'accuracy_score': 0.32, 'precision_score': 0.27, 'recall_score': 0.24, 'f1_score': 0.23}"
